"filename", "language", "Batch", "XML", "Markdown", "C#", "JSON", "Properties", "comment", "blank", "total"
"g:\Quartz\.idea\.idea.wsc\.idea\discord.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 6
"g:\Quartz\.idea\.idea.wsc\.idea\encodings.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 4
"g:\Quartz\.idea\.idea.wsc\.idea\indexLayout.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 8
"g:\Quartz\.idea\.idea.wsc\.idea\misc.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 6
"g:\Quartz\.idea\.idea.wsc\.idea\riderModule.iml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 13
"g:\Quartz\.idea\.idea.wsc\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 6
"g:\Quartz\README.md", "Markdown", 0, 0, 46, 0, 0, 0, 0, 8, 54
"g:\Quartz\build.cmd", "Batch", 3, 0, 0, 0, 0, 0, 0, 1, 4
"g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\Binder.cs", "C#", 0, 0, 0, 211, 0, 0, 1, 60, 272
"g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundAssignmentExpression.cs", "C#", 0, 0, 0, 16, 0, 0, 0, 3, 19
"g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundBinaryExpression.cs", "C#", 0, 0, 0, 18, 0, 0, 0, 2, 20
"g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundBinaryOperator.cs", "C#", 0, 0, 0, 61, 0, 0, 0, 14, 75
"g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundBinaryOperatorKind.cs", "C#", 0, 0, 0, 21, 0, 0, 0, 0, 21
"g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundBlockStatement.cs", "C#", 0, 0, 0, 13, 0, 0, 0, 4, 17
"g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundConditionalGotoStatement.cs", "C#", 0, 0, 0, 16, 0, 0, 0, 2, 18
"g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundExpression.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 1, 9
"g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundExpressionStatement.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 4, 16
"g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundForStatement.cs", "C#", 0, 0, 0, 18, 0, 0, 0, 3, 21
"g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundGlobalScope.cs", "C#", 0, 0, 0, 18, 0, 0, 0, 2, 20
"g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundGotoStatement.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 2, 14
"g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundIfStatement.cs", "C#", 0, 0, 0, 16, 0, 0, 0, 2, 18
"g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundLabelStatement.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 2, 14
"g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundLiteralExpression.cs", "C#", 0, 0, 0, 14, 0, 0, 0, 3, 17
