Date : 2021-01-03 01:21:42
Directory : g:\Quartz
Total : 137 files,  15293 codes, 149 comments, 794 blanks, all 16236 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         26 |     11,282 |          0 |          0 |     11,282 |
| C#         |         83 |      3,696 |        149 |        764 |      4,609 |
| XML        |         19 |        210 |          0 |         14 |        224 |
| Properties |          7 |         56 |          0 |          7 |         63 |
| Markdown   |          1 |         46 |          0 |          8 |         54 |
| Batch      |          1 |          3 |          0 |          1 |          4 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        137 |     15,293 |        149 |        794 |     16,236 |
| .idea                                                                                              |          6 |         43 |          0 |          0 |         43 |
| .idea\.idea.wsc                                                                                    |          6 |         43 |          0 |          0 |         43 |
| .idea\.idea.wsc\.idea                                                                              |          6 |         43 |          0 |          0 |         43 |
| src                                                                                                |        129 |     15,201 |        149 |        785 |     16,135 |
| src\WSC                                                                                            |         26 |      3,802 |         21 |        107 |      3,930 |
| src\WSC.Lib                                                                                        |         84 |      3,079 |         98 |        549 |      3,726 |
| src\WSC.Lib\CodeAnalysis                                                                           |         57 |      2,415 |         59 |        489 |      2,963 |
| src\WSC.Lib\CodeAnalysis\Binding                                                                   |         26 |        911 |          5 |        204 |      1,120 |
| src\WSC.Lib\CodeAnalysis\Lowering                                                                  |          1 |        121 |         46 |         28 |        195 |
| src\WSC.Lib\CodeAnalysis\Syntax                                                                    |         23 |      1,027 |          8 |        180 |      1,215 |
| src\WSC.Lib\Text                                                                                   |          3 |        125 |          0 |         29 |        154 |
| src\WSC.Lib\bin                                                                                    |          4 |        137 |          0 |          0 |        137 |
| src\WSC.Lib\bin\Debug                                                                              |          2 |         68 |          0 |          0 |         68 |
| src\WSC.Lib\bin\Debug\net5.0                                                                       |          2 |         68 |          0 |          0 |         68 |
| src\WSC.Lib\bin\Release                                                                            |          2 |         69 |          0 |          0 |         69 |
| src\WSC.Lib\bin\Release\net5.0                                                                     |          2 |         69 |          0 |          0 |         69 |
| src\WSC.Lib\bin\Release\net5.0\win-x64                                                             |          1 |         35 |          0 |          0 |         35 |
| src\WSC.Lib\obj                                                                                    |         19 |        393 |         39 |         27 |        459 |
| src\WSC.Lib\obj\Debug                                                                              |          5 |         37 |         19 |         13 |         69 |
| src\WSC.Lib\obj\Debug\net5.0                                                                       |          5 |         37 |         19 |         13 |         69 |
| src\WSC.Lib\obj\Release                                                                            |          6 |         40 |         20 |         14 |         74 |
| src\WSC.Lib\obj\Release\net5.0                                                                     |          6 |         40 |         20 |         14 |         74 |
| src\WSC.Lib\obj\Release\net5.0\win-x64                                                             |          3 |         20 |         10 |          7 |         37 |
| src\WSC.Tests                                                                                      |         19 |      8,320 |         30 |        129 |      8,479 |
| src\WSC.Tests\CodeAnalysis                                                                         |          7 |        602 |         20 |        116 |        738 |
| src\WSC.Tests\CodeAnalysis\Syntax                                                                  |          4 |        380 |         20 |         72 |        472 |
| src\WSC.Tests\CodeAnalysis\Text                                                                    |          1 |         17 |          0 |          1 |         18 |
| src\WSC.Tests\bin                                                                                  |          3 |      1,776 |          0 |          0 |      1,776 |
| src\WSC.Tests\bin\Debug                                                                            |          3 |      1,776 |          0 |          0 |      1,776 |
| src\WSC.Tests\bin\Debug\net5.0                                                                     |          3 |      1,776 |          0 |          0 |      1,776 |
| src\WSC.Tests\obj                                                                                  |          8 |      5,921 |         10 |          7 |      5,938 |
| src\WSC.Tests\obj\Debug                                                                            |          3 |         20 |         10 |          7 |         37 |
| src\WSC.Tests\obj\Debug\net5.0                                                                     |          3 |         20 |         10 |          7 |         37 |
| src\WSC\.idea                                                                                      |          2 |         14 |          0 |          0 |         14 |
| src\WSC\.idea\.idea.wsc                                                                            |          1 |          7 |          0 |          0 |          7 |
| src\WSC\.idea\.idea.wsc.dir                                                                        |          1 |          7 |          0 |          0 |          7 |
| src\WSC\.idea\.idea.wsc.dir\.idea                                                                  |          1 |          7 |          0 |          0 |          7 |
| src\WSC\.idea\.idea.wsc\.idea                                                                      |          1 |          7 |          0 |          0 |          7 |
| src\WSC\bin                                                                                        |          6 |      1,093 |          0 |          0 |      1,093 |
| src\WSC\bin\Debug                                                                                  |          3 |         65 |          0 |          0 |         65 |
| src\WSC\bin\Debug\net5.0                                                                           |          3 |         65 |          0 |          0 |         65 |
| src\WSC\bin\Release                                                                                |          3 |      1,028 |          0 |          0 |      1,028 |
| src\WSC\bin\Release\net5.0                                                                         |          3 |      1,028 |          0 |          0 |      1,028 |
| src\WSC\bin\Release\net5.0\win-x64                                                                 |          3 |      1,028 |          0 |          0 |      1,028 |
| src\WSC\builds                                                                                     |          2 |      1,019 |          0 |          0 |      1,019 |
| src\WSC\obj                                                                                        |         12 |      1,193 |         20 |         14 |      1,227 |
| src\WSC\obj\Debug                                                                                  |          3 |         20 |         10 |          7 |         37 |
| src\WSC\obj\Debug\net5.0                                                                           |          3 |         20 |         10 |          7 |         37 |
| src\WSC\obj\Release                                                                                |          4 |        875 |         10 |          7 |        892 |
| src\WSC\obj\Release\net5.0                                                                         |          4 |        875 |         10 |          7 |        892 |
| src\WSC\obj\Release\net5.0\win-x64                                                                 |          4 |        875 |         10 |          7 |        892 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                           | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| g:\Quartz\.idea\.idea.wsc\.idea\discord.xml                                                        | XML        |          6 |          0 |          0 |          6 |
| g:\Quartz\.idea\.idea.wsc\.idea\encodings.xml                                                      | XML        |          4 |          0 |          0 |          4 |
| g:\Quartz\.idea\.idea.wsc\.idea\indexLayout.xml                                                    | XML        |          8 |          0 |          0 |          8 |
| g:\Quartz\.idea\.idea.wsc\.idea\misc.xml                                                           | XML        |          6 |          0 |          0 |          6 |
| g:\Quartz\.idea\.idea.wsc\.idea\riderModule.iml                                                    | XML        |         13 |          0 |          0 |         13 |
| g:\Quartz\.idea\.idea.wsc\.idea\vcs.xml                                                            | XML        |          6 |          0 |          0 |          6 |
| g:\Quartz\README.md                                                                                | Markdown   |         46 |          0 |          8 |         54 |
| g:\Quartz\build.cmd                                                                                | Batch      |          3 |          0 |          1 |          4 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\Binder.cs                                               | C#         |        211 |          1 |         60 |        272 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundAssignmentExpression.cs                            | C#         |         16 |          0 |          3 |         19 |
| g:\Quartz\src\WSC.Lib\CodeAnalysis\Binding\BoundBinaryExpression.cs                                | C#         |         18 |          0 |          2 |         20 |
